"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2025","320.60","315.02","320.79","314.12","1.85M","1.52%"
"08/25/2025","315.80","319.06","319.95","315.41","1.60M","-1.05%"
"08/22/2025","319.16","310.22","321.71","310.15","2.79M","3.57%"
"08/21/2025","308.17","306.79","308.52","304.02","1.85M","-0.07%"
"08/20/2025","308.40","305.73","309.02","303.86","2.48M","0.75%"
"08/19/2025","306.10","306.66","308.57","304.57","2.22M","-0.31%"
"08/18/2025","307.05","304.27","307.24","302.79","2.12M","0.52%"
"08/15/2025","305.47","309.46","309.81","304.24","2.73M","-0.73%"
"08/14/2025","307.73","305.54","307.95","302.51","2.11M","0.28%"
"08/13/2025","306.87","304.69","307.60","302.43","2.59M","1.21%"
"08/12/2025","303.21","298.90","305.07","298.48","2.17M","2.36%"
"08/11/2025","296.23","297.12","297.44","294.89","2.32M","-0.40%"
"08/08/2025","297.43","297.00","298.13","294.54","1.78M","0.92%"
"08/07/2025","294.73","297.70","298.29","290.63","2.84M","-0.27%"
"08/06/2025","295.54","297.21","298.05","294.43","3.43M","-0.37%"
"08/05/2025","296.64","299.85","300.35","295.23","2.18M","-0.65%"
"08/04/2025","298.59","295.54","299.10","295.53","1.88M","1.47%"
"08/01/2025","294.27","294.03","294.91","288.34","3.01M","-1.68%"
"07/31/2025","299.31","301.90","303.91","298.07","2.72M","-1.35%"
"07/30/2025","303.41","308.55","308.75","301.37","3.13M","-1.66%"
"07/29/2025","308.54","312.91","313.62","307.85","1.80M","-0.71%"
"07/28/2025","310.74","311.60","313.50","309.29","1.65M","-0.28%"
"07/25/2025","311.61","309.42","312.65","307.51","2.15M","1.09%"
"07/24/2025","308.25","308.30","310.50","307.00","2.29M","-0.13%"
"07/23/2025","308.66","308.00","309.59","305.24","2.14M","1.49%"
"07/22/2025","304.14","302.98","306.16","301.73","2.30M","0.39%"
"07/21/2025","302.97","307.96","309.17","302.97","2.67M","-1.62%"
"07/18/2025","307.95","311.86","311.86","302.51","5.48M","-2.35%"
"07/17/2025","315.35","310.92","316.98","310.58","3.22M","1.11%"
"07/16/2025","311.90","312.44","312.49","306.61","2.92M","0.40%"
"07/15/2025","310.65","318.61","319.45","310.43","3.01M","-3.20%"
"07/14/2025","320.92","319.29","321.77","317.68","1.89M","0.45%"
"07/11/2025","319.47","322.98","324.35","319.20","2.09M","-1.77%"
"07/10/2025","325.24","317.85","326.10","317.50","2.85M","2.49%"
"07/09/2025","317.35","318.66","320.93","317.31","2.42M","0.12%"
"07/08/2025","316.98","324.47","324.47","316.95","2.64M","-1.78%"
"07/07/2025","322.73","327.52","328.40","320.26","2.16M","-1.65%"
"07/03/2025","328.13","325.33","329.14","324.18","1.54M","0.77%"
"07/02/2025","325.61","322.99","326.62","321.34","3.04M","0.95%"
"07/01/2025","322.53","316.93","324.38","316.30","3.84M","1.11%"
"06/30/2025","318.98","318.58","320.13","317.59","3.42M","0.56%"
"06/27/2025","317.19","314.08","320.12","313.10","4.61M","1.85%"
"06/26/2025","311.42","309.58","312.27","308.17","3.26M","0.92%"
"06/25/2025","308.59","308.89","310.77","307.17","2.47M","0.07%"
"06/24/2025","308.38","303.10","309.22","302.15","2.81M","2.92%"
"06/23/2025","299.63","296.82","299.87","291.88","3.10M","0.35%"
"06/20/2025","298.59","297.58","299.75","296.64","5.69M","0.73%"
"06/18/2025","296.42","292.08","299.24","292.08","3.69M","1.23%"
